team,year,completions_allowed,pass_attempts_faced,passing_yards_allowed,passing_tds_allowed,interceptions_made,sacks_made,rush_attempts_faced,rushing_yards_allowed,rushing_tds_allowed,fumbles_forced,total_plays_faced,total_yards_allowed,turnovers_forced,offensive_tds_allowed,yards_per_play_allowed,opponent_cmp_percentage,yards_per_pass_allowed,yards_per_rush_allowed,sack_rate,conference,division
BUF,2021,297.0,575.0,3047.0,12.0,19.0,42.0,444.0,1866.0,19.0,2.0,1019.0,4913.0,21.0,31.0,4.8213935,51.652176,5.2991304,4.2027025,7.304348,AFC,AFC East
BUF,2022,362.0,613.0,3721.0,21.0,17.0,40.0,388.0,1673.0,10.0,4.0,1001.0,5394.0,21.0,31.0,5.3886113,59.053833,6.070147,4.311856,6.5252857,AFC,AFC East
BUF,2023,363.0,609.0,3676.0,18.0,18.0,54.0,412.0,1880.0,14.0,3.0,1021.0,5556.0,21.0,32.0,5.441724,59.605907,6.0361247,4.563107,8.866995,AFC,AFC East
BUF,2024,396.0,619.0,4100.0,28.0,16.0,39.0,436.0,1963.0,13.0,6.0,1055.0,6063.0,22.0,41.0,5.7469196,63.974155,6.6235867,4.5022936,6.300484,AFC,AFC East
CAR,2020,398.0,617.0,4024.0,28.0,7.0,29.0,408.0,1936.0,17.0,3.0,1025.0,5960.0,10.0,45.0,5.8146343,64.50568,6.52188,4.745098,4.700162,NFC,NFC South
CAR,2021,337.0,561.0,3559.0,26.0,9.0,39.0,476.0,1920.0,16.0,4.0,1037.0,5479.0,13.0,42.0,5.28351,60.0713,6.3440285,4.0336137,6.9518714,NFC,NFC South
CAR,2022,383.0,618.0,4098.0,25.0,10.0,35.0,489.0,2085.0,17.0,3.0,1107.0,6183.0,13.0,42.0,5.585366,61.97411,6.6310678,4.2638035,5.66343,NFC,NFC South
CAR,2023,309.0,510.0,3109.0,19.0,8.0,27.0,508.0,2081.0,25.0,1.0,1018.0,5190.0,9.0,44.0,5.098232,60.588234,6.0960784,4.0964565,5.294118,NFC,NFC South
CAR,2024,360.0,565.0,4043.0,35.0,9.0,32.0,594.0,3056.0,24.0,2.0,1159.0,7099.0,11.0,59.0,6.125108,63.716816,7.155752,5.144781,5.663717,NFC,NFC South
CHI,2020,350.0,583.0,3939.0,28.0,10.0,35.0,438.0,1814.0,11.0,5.0,1021.0,5753.0,15.0,39.0,5.6346717,60.034306,6.756432,4.1415524,6.0034304,NFC,NFC North
CHI,2021,314.0,529.0,3623.0,31.0,8.0,49.0,483.0,2127.0,14.0,2.0,1012.0,5750.0,10.0,45.0,5.681818,59.35728,6.848771,4.4037266,9.26276,NFC,NFC North
